County,year,residential_taxes,residential_taxes_per_capita
Beaverhead,2018,6476966.570229999,688.7459134655464
Big Horn,2018,2505367.85814,187.83684646423748
Blaine,2018,2045029.9241310002,300.4304281079772
Broadwater,2018,3554921.1013599993,584.2105343237469
Carbon,2018,10405661.340210004,971.2209576451377
Carter,2018,347345.16204000014,280.5695977705978
Cascade,2018,49476837.55107999,606.0144476694877
Chouteau,2018,2494471.487109999,434.19869227328087
Custer,2018,6467953.683239997,558.2559712791299
Daniels,2018,1106966.1117699998,633.6383009559244
Dawson,2018,5099304.842990002,587.4775164735023
Deer Lodge,2018,5367658.077989999,587.8499702102728
Fallon,2018,1121044.53295,383.9193605993151
Fergus,2018,7340306.476680004,660.5152953009992
Flathead,2018,117217442.41489498,1147.997594802411
Gallatin,2018,122375752.80783996,1093.8517001666128
Garfield,2018,735399.0783500003,579.967727405363
Glacier,2018,2928791.2373,213.04948259984002
Golden Valley,2018,363641.44824999967,440.2438840799029
Granite,2018,3428418.7853300013,1014.9256321284787
Hill,2018,7212711.660829998,441.2254028769803
Jefferson,2018,9172592.257060004,758.2534725188068
Judith Basin,2018,934932.29455,478.96121647028684
Lake,2018,30894990.645750005,1021.3220048181821
Lewis & Clark,2018,60891832.42265997,886.3439945074233
Liberty,2018,939404.5848899998,386.58624892592593
Lincoln,2018,13089673.06573399,661.2949917012221
Madison,2018,26455699.46855,15794.447443910449
McCone,2018,1101353.95795,125.61062476619524
Meagher,2018,1588106.4043800014,851.0752435048239
Mineral,2018,2978406.4094399973,690.084895607043
Missoula,2018,117468045.86939968,988.8631787711162
Musselshell,2018,2043785.5401599999,439.4292711588905
Park,2018,15834950.22201999,946.1609836293017
Petroleum,2018,318390.6665700001,620.6445742105265
Phillips,2018,1987565.72291,487.86591136720665
Pondera,2018,3059779.4982620035,512.3542361456805
Powder River,2018,547082.6573900001,318.81273740675994
Powell,2018,4008429.4245999963,575.2625465843852
Prairie,2018,500446.1959,460.3920845446182
Ravalli,2018,31370920.74961001,726.6496977117114
Richland,2018,5462433.907930002,500.5437467176762
Roosevelt,2018,2242729.35956,202.79675916086444
Rosebud,2018,1622163.6025639996,178.9874878698003
Sanders,2018,6837316.794810006,577.281053259879
Sheridan,2018,2432884.141040001,710.5385925934584
Silver Bow,2018,20074858.57446003,573.6821242665684
Stillwater,2018,6317469.009209998,662.6252369634988
Sweet Grass,2018,2832368.49625,763.44164319407
Teton,2018,3430607.202210001,556.7359951655309
Toole,2018,2402346.054138,495.0228836056047
Treasure,2018,321455.1566400001,473.4243838586157
Valley,2018,4278783.600580001,575.3373135108244
Wheatland,2018,786298.3335400001,351.65399532200365
Wibaux,2018,300562.19089499995,290.67910144584135
Yellowstone,2018,113925753.14804009,711.4267979794807
